geography,gender,total,white_alone,black_or_african_american_alone,american_indian_and_alaska_native_alone,asian_alone,native_hawaiian_and_other_pacific_islander_alone,some_other_race_alone,two_or_more_races,hispanic_or_latino,white_alone__not_hispanic_or_latino,incarceration_rate,incarceration_rate__white_alone,incarceration_rate__black_or_african_american_alone,incarceration_rate__american_indian_and_alaska_native_alone,incarceration_rate__asian_alone,incarceration_rate__native_hawaiian_and_other_pacific_islander_alone,incarceration_rate__some_other_race_alone,incarceration_rate__two_or_more_races,incarceration_rate__hispanic_or_latino,incarceration_rate__white_alone__not_hispanic_or_latino
Indiana,F,4435,3396,926,12,7,0,60,34,141,3318,134.63608034449837,122.23763990648604,300.80072763890917,131.99868001319987,13.207048790611674,0,75.160655901990509,52.371343633030911,76.311089462575097,123.32101485984779
Iowa,F,1485,1154,256,35,9,3,9,19,69,1098,96.55170620193546,81.810899140063938,609.42223915061777,626.34216177523263,33.63857222948981,311.52647975077883,35.115099492781894,71.635938619311545,96.432015429122472,80.033004503132076
Kansas,F,1468,1022,355,36,19,0,8,28,157,893,102.10682265547294,84.414881798516049,432.8476498201548,254.50689289501591,53.838089031197754,0,15.62744178777934,64.595012342261285,109.36422466337413,78.831353868915727
Kentucky,F,4844,4028,725,11,8,3,20,49,89,3977,219.7408382722854,207.57558111371412,425.00058620770517,225.91907989320188,30.69603253779449,255.10204081632651,86.177180282661155,128.89987899195032,151.99385193407906,208.07620287351301
Louisiana,F,4558,2200,2271,20,12,0,17,38,104,2141,196.96812556177835,153.28681775172831,298.12695928880112,130.4631441617743,33.890646181653864,0,59.69101123595506,102.78326255713938,120.69725877956502,154.24494183215037
Maine,F,357,334,10,9,1,0,0,3,3,331,52.631190983407173,51.643228784142131,145.05366985784741,208.04438280166434,13.034410844629823,0,0,28.476506881822498,35.646387832699624,51.620509717443987
Maryland,F,2380,1083,1244,4,11,0,20,18,59,1048,79.81782754654084,63.216364574553282,136.75559444710726,39.2580233585239,6.5583544492472798,0,21.063052246901098,21.291696238466997,26.322246759909877,64.900160268716391
Massachusetts,F,1709,1269,316,11,19,12,63,19,284,1068,50.547160441537869,46.655252245352948,140.62882445873478,118.76484560570071,10.404573631524764,1085.972850678733,40.784882403589066,21.373049709214033,88.872477382893308,41.429938018019698
Michigan,F,2275,1515,634,39,24,1,19,43,111,1438,45.178994210336718,38.286580742987113,86.241137838911342,125.43419529139328,19.502681618722573,76.219512195121951,26.976757393761268,36.601040150489858,51.761523933875814,37.433956920231829
Minnesota,F,2491,1467,488,308,62,3,66,97,379,1230,93.233270691254901,64.218287897544911,362.56918904862738,1003.8459031353888,56.212883630264287,278.81040892193306,138.70499968476136,153.56362600132985,320.13379734432544,55.22463180211443
Mississippi,F,2616,1418,1159,15,7,0,6,11,38,1398,171.42216837247886,159.17971929139205,199.37143810626378,196.79874048806087,51.237007758746884,0,40.260350265047308,64.087625262176644,112.43268832475295,159.40452489926045
Missouri,F,3772,2802,887,28,10,4,19,22,124,2716,123.45153741674712,111.08230318570725,243.53613367854879,206.03384841795437,19.234468166955182,127.18600953895071,51.356903449021509,34.888515335088329,121.89128084144303,109.97367272385675
Montana,F,674,402,12,238,1,0,8,13,24,394,136.78391388701729,91.265318724828262,854.70085470085473,753.40297562519788,26.574541589157587,0,292.29082937522833,104.11661060387634,170.44244016760172,91.148845602183869
Nebraska,F,861,591,178,48,5,1,21,17,125,503,93.582379122760301,74.287481239582789,436.84197609639978,511.56346584248109,29.696501752093603,163.39869281045753,56.710775047258977,85.521682261796968,157.71676592308469,66.127480109169511
Nevada,F,2047,1342,515,51,51,4,37,47,246,1175,153.11140780965417,153.02846990915216,477.31148513383255,315.28189910979228,47.510806379490241,47.443956825999287,23.618629353487897,74.049565943501747,70.399963369124762,163.78315389204531
New Hampshire,F,469,420,18,11,3,0,8,9,20,413,70.306831605394279,66.967488878613452,274.5995423340961,725.11535926170075,20.084354288009639,0,137.22126929674099,82.743403511997798,109.1881858382923,66.986732409900412
New Jersey,F,3377,1744,1382,11,38,7,125,70,489,1480,74.83998161467315,56.438120325813642,216.23482288146201,78.537769527345418,10.186766318261386,470.11417058428475,45.716041210268187,57.799172646128696,63.364458369939591,55.193071330332025
New Mexico,F,1965,1335,118,306,3,1,183,19,842,730,188.62346149489613,186.71433126898611,618.38381720993607,306.95770804911325,19.383601473153711,117.92452830188678,119.68841769295669,49.006964147536763,175.21735692316656,172.67112773169271
New York,F,5614,2746,2448,43,67,2,269,39,838,2314,56.134639141961941,42.0653053909002,148.10906829231698,80.25981782887861,9.0843146426949239,45.998160073597056,37.312863505661433,12.838069154399179,48.362876240669372,39.919257522511515
North Carolina,F,4570,2572,1846,84,17,4,32,15,119,2494,93.456204725121168,77.169615334070627,169.40053683268715,134.7060521504859,15.581463557706408,126.22278321236983,17.084890549919916,14.229204018327215,31.956174389408808,78.242081753877514
North Dakota,F,295,147,9,127,1,4,1,6,7,145,88.661274858968468,49.031053000233477,285.44243577545194,681.29392199989263,28.522532800912717,2666.666666666667,66.40106241699867,100.65425264217413,111.44722177997134,48.939861348310053
Ohio,F,7188,5032,2010,10,34,0,44,58,192,4903,121.74079170130214,103.32729495630562,272.62776544246401,80.121785113372326,33.83825314994327,0,72.250775874809108,47.829923389657196,111.73964662336755,102.54314529504107
Oklahoma,F,4262,2642,854,518,17,4,70,157,239,2524,224.98197293670626,192.50750866720975,612.54644307047863,317.80310931690735,49.463179027612092,187.17828731867104,100.28940657325425,138.63869167461411,154.12096238545718,192.64999068807495
Oregon,F,2155,1814,145,88,35,3,33,37,176,1689,111.3653652163847,111.57885931222151,457.12484237074398,334.34650455927056,45.668654340479392,45.857535921736471,34.696667017138047,50.695348359251895,82.207649048072795,110.44369725479734
Pennsylvania,F,7159,4416,2363,18,26,2,280,54,507,4208,109.93523357436469,82.838323079214518,328.30798428901107,134.93253373313343,14.356154096749435,110.37527593818984,195.53072625698326,44.284074134820401,144.09877160771026,81.293148347631757
Rhode Island,F,214,141,46,4,2,0,17,4,27,135,39.326162740482246,31.715112813580369,153.19545742165386,129.99675008124797,12.367818935130789,0,52.803230315266347,22.415242364808069,40.824349456431349,32.339124831417337
South Carolina,F,2840,1533,1265,11,7,1,19,4,60,1497,119.5657070395994,98.341473928924714,184.5818018393978,114.82254697286012,22.189114654325291,80.385852090032159,39.707419017763847,9.7907232896830241,57.492190644104177,98.866110718156293
South Dakota,F,743,360,21,345,1,0,6,10,17,352,182.64548339597687,102.78489975617138,520.70419042896106,946.39820047182752,24.950099800399201,0,190.90041361756283,114.69205184080744,167.48768472906406,101.86482075264212
Tennessee,F,5435,3943,1418,20,11,1,20,22,76,3898,167.09704018414803,156.73439145278829,253.4591453529213,206.24935547076416,22.749834546657844,57.273768613974802,32.463843394419463,39.272389724914767,57.679755923559142,158.54976990352787
Texas,F,25974,16643,7410,181,151,7,1376,206,6696,11443,204.95087262722257,186.19048977507344,480.72587661109662,214.86739951090956,30.454231928136078,64.808813998703826,109.03276212632903,60.535533770599706,142.55398146287294,198.5012573943583
Utah,F,1694,1432,56,62,5,16,82,41,333,1203,123.14912821467205,120.46642040593483,451.0309278350515,373.38151159289373,16.883906260552443,136.18180270661333,103.55365847498295,109.96379240981629,192.15122820987762,108.29057520928976
Vermont,F,160,135,14,2,3,0,0,6,9,130,50.388146188609127,44.607012222321352,507.24637681159419,185.87360594795538,67.174205105239579,0,0,108.91268832819024,196.4207769532955,43.3956784580514
Virginia,F,5948,3320,2539,9,22,3,32,23,127,3238,145.96172161212613,119.4973624196632,312.97419164769389,62.72214091574326,9.4741828517290383,99.56853634251577,27.310745071263977,19.369073484580532,41.930659235805479,123.07912185821345
Washington,F,3269,2396,395,219,75,12,87,85,386,2137,96.8640522360662,91.776327759466341,357.42077926778506,423.00857606428184,28.889154241120437,59.59771542090887,53.183035223063101,53.621670725091157,106.76373130943227,87.016254571203689
West Virginia,F,2545,1870,581,12,11,2,33,36,124,1801,270.91529984841515,211.17702393979536,1992.3870923493707,681.4310051107326,166.74245869334547,975.60975609756099,1296.1508248232522,264.22018348623851,1209.9921935987509,204.90521000792998
Wisconsin,F,3183,2118,803,196,18,7,20,21,94,2053,111.11553292517662,85.688797545044267,439.64587428208517,717.58072783188106,27.122730354855726,822.56169212690952,31.855249745158002,39.705048213272832,58.777551977489445,85.80178909059299
Wyoming,F,493,408,6,52,1,0,11,15,59,369,178.50095405682339,162.36931856621524,318.80977683315621,783.13253012048199,39.968025579536373,0,145.44492926087531,245.21824423737127,247.9304113963945,155.11566415987423
Puerto Rico,F,452,311,130,3,1,0,4,3,415,25,23.291549393028404,20.925696284040423,56.594573886392922,29.812183245553015,26.652452025586353,0,2.7048409891603495,4.7763095048559148,21.586655597653866,188.39487565938208
